CCIS27304052ST-3-0	CCIS15794887ST-4-0	CCIS16561622ST-4-0	CCIS79210440ST-3-0	CCIS82507866ST-3-0	CCIS98482370ST-3-0	CCIS00281083ST-3-0	CCIS32452666ST-4-0	CCIS94417875ST-3-0	CCIS27927933ST-4-0	CCIS45571137ST-3-0	CCIS81139242ST-4-0	CCIS21126322ST-4-0	CCIS17669415ST-4-0	CCIS29210128ST-4-0	CCIS48725289ST-4-0	CCIS64785924ST-20-0	CCIS03473770ST-4-0	CCIS10706551ST-3-0	CCIS64773582ST-4-0	CCIS06260551ST-3-0	CCIS40244499ST-3-0	CCIS85214191ST-3-0	CCIS87167916ST-4-0	CCIS58234805ST-4-0	CCIS91228662ST-4-0	CCIS71301801ST-4-0	CCIS53355328ST-4-0	CCIS41222843ST-4-0	CCIS81887263ST-4-0	CCIS29688262ST-20-0	CCIS87116798ST-4-0	CCIS87605453ST-4-0	CCIS83870198ST-4-0	CCIS61287323ST-4-0	CCIS11362406ST-4-0	CCIS14449628ST-4-0	CCIS21278152ST-4-0	CCIS34055159ST-4-0	CCIS76845094ST-20-0	CCIS41548810ST-4-0	CCIS98512455ST-4-0	CCIS50148151ST-4-0	CCIS62605362ST-3-0	CCIS87252800ST-4-0	CCIS22958137ST-20-0	CCIS16326685ST-4-0	CCIS53043478ST-4-0	CCIS98832363ST-4-0	CCIS02124300ST-4-0	CCIS59132091ST-4-0	CCIS82146115ST-4-0	CCIS33816588ST-4-0	CCIS12656533ST-4-0	CCIS47284573ST-4-0	CCIS93040568ST-20-0	CCIS45793747ST-4-0	CCIS95097901ST-4-0	CCIS80834637ST-4-0	CCIS63910149ST-4-0	CCIS84543192ST-4-0	CCIS38765456ST-20-0	CCIS82944710ST-20-0	CCIS55230578ST-4-0	CCIS24254057ST-4-0	CCIS78318719ST-4-0	CCIS44757994ST-4-0	CCIS65479369ST-4-0	CCIS62794166ST-4-0	CCIS77252613ST-4-0	CCIS11015875ST-4-0	CCIS35100175ST-4-0	CCIS22416007ST-4-0	CCIS41288781ST-4-0	CCIS12370844ST-4-0	CCIS72607085ST-4-0	CCIS46047672ST-4-0	CCIS52370277ST-4-0	CCIS02379307ST-4-0	CCIS46467422ST-4-0	CCIS15704761ST-4-0	CCIS11558985ST-4-0	CCIS13047523ST-4-0	CCIS94603952ST-4-0	CCIS02856720ST-4-0	CCIS07648107ST-4-0	CCIS34604008ST-4-0	CCIS63468405ST-4-0	CCIS16383318ST-4-0	CCIS36699628ST-4-0	CCIS95409808ST-4-0	CCIS74239020ST-4-0	CCIS05314658ST-4-0	CCIS71578391ST-4-0	CCIS50003399ST-4-0	CCIS36797902ST-4-0	CCIS11354283ST-4-0	CCIS50471204ST-4-0	CCIS20795251ST-4-0	CCIS07277498ST-4-0	CCIS90164298ST-4-0	CCIS23164343ST-4-0	CCIS03857607ST-4-0	CCIS63448910ST-4-0	CCIS88007743ST-4-0	CCIS51595129ST-4-0	CCIS09568613ST-4-0	CCIS07539127ST-4-0	CCIS41692898ST-4-0	CCIS44093303ST-4-0	CCIS00146684ST-4-0	CCIS78100604ST-4-0	CCIS48174381ST-4-0	CCIS88317640ST-4-0
Verrucomicrobium spinosum [h:1006]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chthoniobacter flavus [h:1007]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.966812721728819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00711781005697	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia muciniphila [h:1008]	1483.16832963117	1.01374355822733	251.721285373385	416.045389231687	1.99744262165618	0	206.432609688202	7.84788113794331	1325.68034309557	917.325081914984	8.83907784929859	1.94824873454557	583.628190414985	458.820821660369	765.241713494592	62.4358752462234	1380.67825767412	1137.18817785411	0	7.9630259313131	52.6474803541233	0	0	191.145854711839	2451.61650553627	55.6762781224393	24.1041271972657	3245.28552777885	1190.18374265743	2754.98902245404	128.812386035549	87.8222232418536	1.99058179919391	1486.79798279072	53.0672093264763	6.04530885263626	0	151.938628634291	10.114233370256	12.5735194878678	455.05168506808	0	0	0	2.01719772998182	203.190035845683	6336.20586317129	4.04077152660384	6421.46601025023	601.223349071864	2131.87991368799	4.868551289536	68.4173579851181	17455.9664434273	421.479185289867	0.979205424122326	3.94857283370919	5.80636817493831	110.900993588152	319.075877211702	1132.85753920771	8.98457276387554	24.759196784986	7.86525930366006	40933.548604488	8.93999076101988	9547.53283690164	0	1072.0178210181	6.00170035859717	607.662095885315	9.00479840806602	8.33690446627661	0	16.4629202301978	7553.10897592312	34.1280242275804	1200.92014180524	5.98551113252297	2.03384104407076	3.94725406971724	23.1578664292001	1.95711622748823	0	568.86746117522	0	7.52886420298707	2615.83922065627	0	0	0	12.69798416342	451.811276913832	23.2710546137397	25.510210991223	4680.68125663827	1091.26847971836	553.758754647125	13.3796349260178	969.575907851184	444.751832056085	519.447741352102	1.98907625647074	2.02795943107275	239.349803188457	2.93886286284247	1205.9518971431	142.034489417353	0	0	1310.19180627806	0	362.372684773081	0.996926118076574
Pedosphaera parvula [h:1009]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrococcus yayanosii [h:101]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirochaeta thermophila [h:1010]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerochaeta globus [h:1011]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerochaeta pleomorpha [h:1012]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerochaeta coccoides [h:1013]	0	0	0	0	0	0	0	0	0	0.983669873277381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirochaeta smaragdinae [h:1014]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema paraluiscuniculi/pallidum [c:1015]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema primitia [h:1016]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema azotonutricium [h:1017]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirochaeta caldaria [h:1018]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema vincentii [h:1019]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrococcus abyssi [h:102]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema phagedenis [h:1020]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema denticola [h:1021]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7251994365569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema succinifaciens [h:1022]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88970974719387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema brennaborense [h:1023]	0	0	0	0	0.948972271749386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88122610744617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia muridarum [h:1024]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia trachomatis [h:1025]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia pneumoniae [h:1026]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia psittaci [h:1027]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydophila abortus [h:1028]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydophila caviae [h:1029]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unnamed Pyrococcus sp. NA2 [u:103]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
